iter	RMSE
0	22.46713742
1	22.27111067
2	22.08285618
3	21.88935118
4	21.69941207
5	21.50973948
6	21.32578712
7	21.14803896
8	20.96365227
9	20.78702084
10	20.60344734
11	20.43442898
12	20.2580473
13	20.08495589
14	19.91703163
15	19.74657453
16	19.58429186
17	19.41882404
18	19.25708549
19	19.09537303
20	18.93197347
21	18.76954408
22	18.62279352
23	18.46962559
24	18.31217752
25	18.1664299
26	18.0194124
27	17.86768484
28	17.72043844
29	17.5706338
30	17.42078741
31	17.27973401
32	17.13894704
33	16.99171616
34	16.85083299
35	16.720485
36	16.58209366
37	16.45547266
38	16.31699022
39	16.17771017
40	16.04612962
41	15.91273468
42	15.7851151
43	15.66005481
44	15.53134812
45	15.40740533
46	15.2901281
47	15.16328016
48	15.04603235
49	14.92228579
50	14.80583119
51	14.68458635
52	14.56916652
53	14.44763329
54	14.33690723
55	14.22329937
56	14.10810588
57	13.99455114
58	13.88212463
59	13.77395227
60	13.66462616
61	13.54986502
62	13.44322804
63	13.33911307
64	13.23490123
65	13.1285702
66	13.02617222
67	12.92029217
68	12.81853182
69	12.71631194
70	12.61660733
71	12.51933157
72	12.42286279
73	12.32745603
74	12.22530189
75	12.13234289
76	12.03776732
77	11.94827795
78	11.86100819
79	11.76916637
80	11.67642866
81	11.59467015
82	11.51447307
83	11.42311834
84	11.33755117
85	11.25281733
86	11.16945566
87	11.08258318
88	10.99717124
89	10.91284486
90	10.83026144
91	10.75258067
92	10.67777475
93	10.59703348
94	10.52032119
95	10.44049311
96	10.36682233
97	10.28893844
98	10.21850229
99	10.14077645
100	10.07071724
101	9.994397589
102	9.919918566
103	9.847934514
104	9.773760385
105	9.70768668
106	9.637236277
107	9.570861749
108	9.502407573
109	9.439865536
110	9.375131174
111	9.308224959
112	9.247730095
113	9.182757915
114	9.11829084
115	9.0531395
116	8.988987951
117	8.928972064
118	8.872520712
119	8.811080127
120	8.752034133
121	8.691195181
122	8.629916782
123	8.571029207
124	8.515936687
125	8.460657239
126	8.404702638
127	8.350961585
128	8.299252898
129	8.245581049
130	8.188438191
131	8.135808855
132	8.086166054
133	8.035506817
134	7.984035887
135	7.929796353
136	7.882507134
137	7.828650126
138	7.780011514
139	7.729186063
140	7.678110939
141	7.627792919
142	7.579910204
143	7.534118565
144	7.484968506
145	7.441609874
146	7.393933067
147	7.34964713
148	7.304020843
149	7.262750059
150	7.216122996
151	7.172329566
152	7.131129147
153	7.090438227
154	7.047369354
155	7.003366653
156	6.962741252
157	6.920509843
158	6.878966704
159	6.83852627
160	6.79739443
161	6.756985064
162	6.720514066
163	6.682871011
164	6.642796137
165	6.602802182
166	6.566302321
167	6.532720612
168	6.498246928
169	6.461650845
170	6.424923727
171	6.391250394
172	6.356182446
173	6.32325441
174	6.289336394
175	6.252129097
176	6.220923897
177	6.188018428
178	6.15809262
179	6.125917796
180	6.095692433
181	6.062928754
182	6.032280429
183	6.002080448
184	5.974044752
185	5.944401541
186	5.915885747
187	5.885211142
188	5.856192642
189	5.827175044
190	5.799013555
191	5.770622565
192	5.743687125
193	5.715817291
194	5.690157969
195	5.664693297
196	5.637809533
197	5.611954213
198	5.584371347
199	5.559513726
200	5.534649187
201	5.510692066
202	5.486240918
203	5.463791684
204	5.438068919
205	5.416194246
206	5.394105547
207	5.371231707
208	5.348878064
209	5.325789105
210	5.305862764
211	5.284919012
212	5.262902607
213	5.2418584
214	5.221202026
215	5.200180207
216	5.179395667
217	5.157195289
218	5.137963397
219	5.120301214
220	5.099988136
221	5.081030473
222	5.061739832
223	5.043512351
224	5.025456547
225	5.007433069
226	4.987609195
227	4.967323695
228	4.948672907
229	4.930054334
230	4.913610602
231	4.896357135
232	4.879376622
233	4.863855068
234	4.848573009
235	4.831733671
236	4.815845855
237	4.799647617
238	4.78418688
239	4.768342412
240	4.75180119
241	4.735073387
242	4.720428747
243	4.70667749
244	4.691045906
245	4.675750324
246	4.661147901
247	4.648460786
248	4.634506892
249	4.621706638
250	4.609681505
251	4.596776531
252	4.584282277
253	4.570112974
254	4.556414693
255	4.544806935
256	4.531339897
257	4.519998746
258	4.506492646
259	4.494166402
260	4.483256944
261	4.47350395
262	4.461157172
