iter	Passed	Remaining
0	141	84762
1	151	45369
2	158	31474
3	163	24407
4	168	20049
5	174	17308
6	180	15261
7	184	13674
8	189	12414
9	193	11416
10	197	10600
11	202	9903
12	206	9318
13	211	8838
14	215	8400
15	219	8017
16	223	7679
17	228	7379
18	232	7107
19	236	6862
20	240	6640
21	245	6439
22	249	6255
23	253	6084
24	257	5927
25	261	5782
26	266	5646
27	270	5520
28	274	5403
29	278	5293
30	282	5191
31	287	5098
32	291	5006
33	295	4921
34	299	4839
35	304	4763
36	308	4689
37	312	4621
38	316	4553
39	320	4490
40	325	4431
41	329	4373
42	333	4317
43	337	4265
44	341	4215
45	345	4165
46	350	4120
47	354	4074
48	358	4032
49	362	3991
50	367	3951
51	371	3912
52	375	3874
53	379	3838
54	384	3805
55	388	3771
56	392	3738
57	396	3707
58	400	3676
59	405	3645
60	409	3616
61	413	3587
62	417	3560
63	421	3533
64	426	3507
65	430	3482
66	434	3458
67	438	3434
68	443	3412
69	447	3388
70	451	3366
71	456	3344
72	460	3322
73	464	3301
74	468	3280
75	472	3260
76	477	3240
77	481	3220
78	485	3201
79	489	3184
80	494	3166
81	498	3148
82	502	3130
83	506	3112
84	510	3095
85	515	3078
86	519	3062
87	523	3045
88	527	3029
89	531	3014
90	536	2998
91	540	2982
92	544	2967
93	548	2953
94	552	2938
95	557	2924
96	561	2910
97	565	2897
98	569	2883
99	573	2869
100	578	2856
101	582	2843
102	586	2830
103	590	2817
104	594	2804
105	598	2791
106	603	2779
107	607	2767
108	611	2755
109	615	2743
110	620	2731
111	624	2720
112	628	2708
113	632	2696
114	636	2685
115	640	2674
116	645	2663
117	649	2652
118	653	2642
119	657	2631
120	662	2620
121	666	2610
122	670	2600
123	674	2590
124	678	2580
125	683	2570
126	687	2560
127	691	2550
128	695	2540
129	700	2531
130	704	2521
131	708	2512
132	712	2503
133	717	2493
134	721	2484
135	725	2475
136	729	2466
137	733	2456
138	738	2447
139	742	2438
140	746	2429
141	750	2421
142	754	2412
143	759	2403
144	763	2394
145	767	2386
146	771	2377
147	775	2368
148	779	2360
149	784	2352
150	788	2344
151	792	2336
152	796	2328
153	801	2320
154	805	2312
155	809	2304
156	813	2296
157	818	2288
158	822	2280
159	826	2272
160	830	2264
161	834	2257
162	839	2249
163	843	2241
164	847	2234
165	851	2226
166	855	2218
167	859	2211
168	864	2204
169	868	2196
170	872	2189
171	876	2181
172	881	2174
173	885	2167
174	889	2160
175	893	2152
176	897	2145
177	902	2138
178	906	2131
179	910	2124
180	914	2117
181	918	2110
182	922	2103
183	927	2096
184	931	2089
185	935	2082
186	939	2075
187	945	2071
188	950	2067
189	956	2063
190	960	2056
191	965	2051
192	969	2044
193	973	2037
194	977	2030
195	981	2023
196	986	2017
197	990	2010
198	994	2003
199	998	1996
200	1002	1990
201	1006	1983
202	1010	1977
203	1015	1970
204	1019	1963
205	1023	1957
206	1027	1950
207	1031	1944
208	1035	1938
209	1040	1931
210	1044	1925
211	1048	1919
212	1052	1912
213	1056	1906
214	1061	1900
215	1065	1894
216	1069	1887
217	1073	1881
218	1078	1876
219	1082	1870
220	1086	1864
221	1091	1857
222	1095	1851
223	1099	1845
224	1103	1839
225	1107	1833
226	1112	1827
227	1116	1821
228	1120	1815
229	1124	1809
230	1128	1803
231	1133	1797
232	1137	1791
233	1141	1785
234	1145	1779
235	1149	1773
236	1153	1767
237	1158	1761
238	1162	1755
239	1166	1749
240	1170	1743
241	1174	1738
242	1179	1732
243	1183	1726
244	1187	1720
245	1191	1714
246	1195	1709
247	1200	1703
248	1204	1697
249	1208	1692
250	1212	1686
251	1217	1680
252	1221	1675
253	1225	1669
254	1229	1663
255	1233	1658
256	1238	1652
257	1242	1646
258	1246	1641
259	1250	1635
260	1254	1629
261	1259	1624
262	1263	1618
263	1267	1613
264	1271	1607
265	1275	1602
266	1280	1596
267	1284	1591
268	1288	1585
269	1292	1579
270	1296	1574
271	1301	1568
272	1305	1563
273	1309	1557
274	1313	1552
275	1317	1546
276	1321	1541
277	1325	1535
278	1330	1530
279	1334	1524
280	1338	1519
281	1342	1513
282	1346	1508
283	1350	1503
284	1355	1497
285	1359	1492
286	1363	1486
287	1367	1481
288	1371	1476
289	1375	1470
290	1379	1465
291	1384	1459
292	1388	1454
293	1392	1449
294	1396	1443
295	1400	1438
296	1404	1433
297	1409	1427
298	1413	1422
299	1417	1417
300	1421	1412
301	1425	1406
302	1429	1401
303	1434	1396
304	1438	1391
305	1442	1385
306	1446	1380
307	1450	1375
308	1455	1370
309	1459	1365
310	1463	1359
311	1467	1354
312	1471	1349
313	1476	1344
314	1480	1339
315	1484	1334
316	1488	1329
317	1492	1323
318	1496	1318
319	1501	1313
320	1505	1308
321	1509	1303
322	1513	1298
323	1517	1292
324	1521	1287
325	1526	1282
326	1530	1277
327	1534	1272
328	1538	1267
329	1542	1262
330	1546	1256
331	1550	1251
332	1554	1246
333	1559	1241
334	1563	1236
335	1567	1231
336	1571	1226
337	1575	1221
338	1579	1216
339	1583	1211
